,Unnamed: 0,dest,orig,1990,1995,2000,2005,2010,2015,2020
445,30432,CRI,ARM,6,4,5,4,8,7,8
446,16307,CYP,ARM,292,413,534,803,1232,1130,1166
447,18611,CZE,ARM,227,340,453,1305,2031,1865,2096
448,20410,DNK,ARM,400,430,459,542,596,677,733
449,32337,ECU,ARM,13,15,16,20,30,37,38
450,9046,EGY,ARM,179,143,118,140,151,103,160
451,20661,EST,ARM,715,655,595,645,690,687,746
452,20951,FIN,ARM,0,10,19,47,69,89,115
453,25922,FRA,ARM,6547,6759,6970,12278,17920,19860,21830
454,16500,GEO,ARM,4039,3297,12268,11654,11770,12358,12789
455,26172,DEU,ARM,5581,7892,10202,10221,10156,10423,25512
456,23504,GRC,ARM,12148,10438,8899,11750,15130,14257,14571
457,11137,GIN,ARM,0,0,0,0,0,9,7
458,18856,HUN,ARM,186,165,144,177,212,173,225
459,21190,ISL,ARM,2,2,2,4,5,8,10
460,15473,IRN,ARM,571,575,1287,1867,1517,1185,989
461,21415,IRL,ARM,10,28,62,62,52,53,59
462,23811,ITA,ARM,25,152,279,768,1107,1354,1847
463,16772,JOR,ARM,26,29,32,24,50,21,25
464,12619,KAZ,ARM,7596,7156,6716,7657,8597,9144,9622
465,12686,KGZ,ARM,7381,5997,4449,3603,2702,2380,2315
466,21715,LVA,ARM,1552,1312,1073,1010,922,693,708
467,9223,LBY,ARM,511,346,188,208,228,255,270
468,26360,LIE,ARM,0,0,0,0,7,9,9
469,21911,LTU,ARM,815,870,681,729,678,579,427
470,26538,LUX,ARM,0,0,0,0,0,0,120
471,24049,MLT,ARM,11,13,15,20,22,38,81
472,30915,MEX,ARM,60,66,75,81,97,100,108
473,10108,NAM,ARM,94,89,84,66,63,61,64
474,26818,NLD,ARM,43,62,85,1890,1659,867,952
475,22104,NOR,ARM,4,15,33,156,196,301,333
476,14490,PHL,ARM,31,41,141,114,133,135,143
477,19095,POL,ARM,1181,1010,864,1499,2183,2078,2775
478,24329,PRT,ARM,16,34,54,77,89,100,112
479,19332,ROU,ARM,1,1,1,1,11,32,163
480,19572,RUS,ARM,535266,516425,478856,503316,517417,527287,526997
481,24564,SRB,ARM,19,122,167,165,162,158,159
482,19765,SVK,ARM,37,57,94,306,118,148,169
483,24689,SVN,ARM,0,0,0,0,7,13,17
484,24912,ESP,ARM,282,657,1315,7216,10246,9516,12845
485,22364,SWE,ARM,267,317,341,788,1503,2358,3233
486,27076,CHE,ARM,374,415,459,539,607,893,1133
487,12761,TJK,ARM,257,221,207,199,198,194,193
488,17400,TUR,ARM,192,465,740,765,789,781,1090
489,12843,TKM,ARM,11254,9193,7452,7391,7172,7113,7058
490,19990,UKR,ARM,35141,44340,54082,49416,47150,47307,48097
491,22610,GBR,ARM,81,323,572,1038,1095,1310,1477
492,33863,USA,ARM,41481,54094,66937,68588,72388,94229,87494
493,12902,UZB,ARM,9213,8402,7498,7039,6291,5870,5824
494,32966,VEN,ARM,30,29,29,30,32,34,31
495,27967,ATG,ABW,7,6,4,5,5,5,4
496,31654,ARG,ABW,1,1,1,2,1,1,1
497,34757,AUS,ABW,26,28,60,50,60,70,75
498,25420,AUT,ABW,0,0,0,0,0,2,1
499,31864,BOL,ABW,0,2,4,3,2,3,2
501,18374,BGR,ABW,1,2,3,4,5,5,3
502,33616,CAN,ABW,523,555,600,577,535,571,617
